player_id,name
1404672,Stuart Clark
1287979,O'Dell Eargle
1190853,Jonathan Ferguson
1287982,James Hughes
1404676,Julian Johnson
1190641,Adam Kline
1404674,Richard Lemon
1404673,Casey McCaskill
1404677,Ron Miller
1404675,Malcolm Tatum
1185904,Michael Branche
1414227,Gerald Colas
1077513,Tim Costello
1077514,Sean Curran
1077515,Brett Dennis
1415034,Antoine Johnson
1414226,Jeremy Johnson
1415035,Jerry Kincel
1414225,Steve Lothridge
1295719,Ryan Mahon
1415036,Jay Norris
1295720,Tim Pacheco
1295724,Terrell Rankin
1185905,Jason Ruback
1295721,Mike Snyder
1185902,Thomas Tsatsis
1295722,Dalton Walsh
1182383,D'Andre Corbin
1182388,Marco Corona
1286348,David DiBernardi
1413959,Brian Holland
1413961,Chris Koryak
1286357,Devone McLeod
1413956,Nate Meyers
1286354,Chris Milon
1075653,Kyle Murphy
1182386,John O'Donnell
1413960,Will Roughan
1413958,Evan Schweitzer
1286350,Gabe Seidman
1413957,Andrew Sestina
1426766,Brandon Smith
1182382,Ryan Stanko
1286358,Bobby Theiss
1182385,Clark Tritto
1413955,Josh Valentic
1183514,Kyle Aho
1420156,Kyle Aho
1413064,DJ Beckman
1427754,Kyle Benthem
1289368,Sean Clancy
1183508,Dustin DeShais
1413070,Troy Gahm
1413068,Charley Helmer
1413069,Ivy Johnson
1079584,Lance Jongekrijg
1183509,Brandon Krause
1413067,Isiah Law
1289369,Jake Murawske
1413066,Scott Nikodemski
1079586,Brian Sheridan
1079587,Greg Silverthorn
1413065,Teddy Snowden
1434819,Brandon Trefil
1289364,Caleb VanTimmeren
1289366,Chris Williamson
1434820,Ethan Woelke
1414418,Kahlil Bennett
1299007,Terrance Bridgers
1299004,Lamont Clark
1415771,Charles Cooper
1185113,Christopher Davis
1299006,Harrison Deyo
1415887,Kyle Laughlin
1185115,Brian Parker
1415886,Thomas Rymal
1299005,Steven Schneider
1415889,Adam Siegrist
1185159,David Sloan
1299003,Kirby Turner
1415888,Kahlil Valasquez
1299001,Josh Vargas
1067997,Mike Bersch
1067998,Jordan Borucki
1402787,Austin Carroll
1402788,Billy Dooley
1402789,Zach Elcano
1068000,Daniel Fisher
1402790,Darius Gardner
1068002,Blake Jolivette
1293639,Kyle Kager
1402791,Stephen Lumpkins
1068003,Daniel Munoz
1402792,Jesse Reed
1293638,John Schoof
1402793,Marko Vasic
1178986,Tony Wroblicky
1412755,Oscar Assie
1412756,Oshawn Banister
1292941,Spencer Braithwaite
1179719,David Campbell
1295908,Brennan Cooper
1295909,Stephan Davis
1179716,Mark Ellis
1292944,D.J. Gutridge
1078002,Ricky Hudson
861237,Sesoo Ikpah
1292943,Al-Shabazz Jabateh
1179714,Jason Perrier
1179715,Janek Schmidkunz
1298087,Ray Barry
1415719,Darren Buck
1182867,Logan Buckner
1412740,Danny Curtis
1182864,Connor Gach
1412738,Connor Green
1077734,Peter Kaasila
1182865,David Kalema
1182866,Tom Killian
1298089,Alex Levine
1298088,Joseph Mussachia
1412737,Jesse Pagliuca
1412739,Ben Pollack
1412741,James Sanderson
1182863,Aaron Toomey
1077736,Allen Williamson
1077737,Willy Workman
1185691,Carson Breckenridge
1185692,Jake Browne
1399671,Levi Gleason
1293815,Nate Gross
1293820,Ross Heitkamp
1078046,Phil Hogan
1399673,Michael Horner
1185689,Cody Jackson
1293812,Andrew Larrick
1399670,Isaac Lochle
1399669,Steven McCann
1293818,Jamares McCloud
1399672,Adam Miller
1399674,Max Mollaun
1399676,Connor Nelson
1399675,Jared Pyle
1185687,Kurtis Runyon
1399668,Micah Smith
1430021,Jalen Thomas
1298559,Alani Adekambi
1400423,Dillon Bender
1298557,Myles Daniel
1400424,Lex Davis
1400425,Steven Faust
1298554,CJ Gleaton
1298555,Chandler Hash
1400426,Bo Holston
1400427,Nick Jackson
1298560,Myson Jones
1176316,Denzail Jones
1176317,DJ McGowan
1176319,Chris Ross
1176318,Kyle Sledge
1400428,Rakish Taylor
1414989,Jovan Austin
1414990,Hunter Burttschell
1414991,Andrew Costello
1414992,Antonio Dye
1414993,Bryan Hammond
1414994,Sydney Holloman
1298287,Zach Jones
1414995,Hunter Kinyon
1414996,Ryan Marsh
1298290,Dakota Rawls
1414997,Reggie Sutton
1414998,Chris Talkington
1414999,Darrion Tillman
1298291,Justin Walling
1415000,Ryan Whitehead
1181966,Joseph Barillo
1072432,Daniel Beliard
1294023,Derrick Bethune
1411849,Patrick Bradanese
1072436,Javier Bristol
1072428,Anthony Click
1072433,Brian Conrad
1294019,Hugh Daye
1411847,Tyler Delorey
1411848,Jaylen Dottin
1411853,Quantez Franklin
1294020,Michael Gorman
1411846,Cade Jones-Pearson
1411852,Kyle McKissick
1411850,Connor O'Leary
1072437,Jose Pena
1411851,Brad Peterson
1411854,Pedro Trindade
1400328,Tevin Baskin
1400331,Chris Burgess
1287002,Jay Canty
