
,,,,,,,,,,,,,,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Shooting,Advanced,Advanced
Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,MP,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
51,2015,NBA,1,6,SAC,Willie Cauley-Stein,21.316,F-C,,University of Kentucky,2016,2016,23,17.7,5.1,4.9,0.3,0.5,1.0,.623,.623,,.512,1.1,.133
52,2015,NBA,1,9,CHO,Frank Kaminsky,22.087,F-C,,University of Wisconsin,2016,2016,36,20.3,7.1,3.6,1.3,0.4,0.6,.385,.429,.314,.761,1.1,.075
53,2013,NBA,2,38,WAS,Nate Wolters,22.049,G,,South Dakota State University,2014,2015,79,19.7,5.8,2.3,2.6,0.5,0.2,.426,.456,.261,.635,1.0,.030
54,2013,NBA,2,55,MEM,Joffrey Lauvergne,21.276,F,,,2015,2016,45,14.4,6.0,4.3,0.9,0.3,0.3,.449,.473,.325,.755,1.0,.075
55,2014,NBA,1,11,DEN,Doug McDermott,22.180,F,,Creighton University,2015,2016,70,14.8,5.5,1.7,0.4,0.1,0.1,.429,.451,.399,.714,1.0,.048
56,2014,NBA,1,26,MIA,P.J. Hairston,21.189,G-F,,University of North Carolina,2015,2016,79,16.8,5.8,2.3,0.6,0.4,0.2,.335,.374,.313,.846,1.0,.035
57,2015,NBA,1,13,PHO,Devin Booker,18.242,G,,University of Kentucky,2016,2016,33,18.1,7.6,1.8,1.1,0.5,0.1,.477,.485,.456,.784,1.0,.077
58,2015,NBA,1,23,POR,Rondae Hollis-Jefferson,20.178,F,,University of Arizona,2016,2016,19,22.1,5.2,6.1,1.4,1.4,0.4,.481,.500,.200,.667,0.9,.101
59,2014,NBA,2,60,SAS,Cory Jefferson,23.188,F,,Baylor University,2015,2016,56,10.0,3.5,2.8,0.3,0.2,0.4,.453,.485,.125,.554,0.8,.071
60,2015,NBA,1,3,PHI,Jahlil Okafor,19.197,C,,Duke University,2016,2016,36,30.8,17.4,7.5,1.2,0.4,1.1,.478,.481,.000,.701,0.8,.036
Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,MP,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
61,2015,NBA,1,14,OKC,Cameron Payne,20.326,G,,Murray State University,2016,2016,22,9.0,4.5,1.3,1.5,0.5,0.1,.476,.491,.452,.833,0.8,.200
62,2013,NBA,1,29,OKC,Archie Goodwin,18.319,G,,University of Kentucky,2014,2016,112,11.4,4.7,1.8,0.8,0.4,0.2,.431,.486,.213,.679,0.7,.027
63,2014,NBA,1,24,CHH,Shabazz Napier,22.353,G,,University of Connecticut,2015,2016,84,16.9,4.8,1.7,2.3,0.7,0.1,.364,.383,.344,.793,0.6,.019
64,2014,NBA,2,40,MIN,Glenn Robinson III,20.174,G-F,,University of Michigan,2015,2016,57,8.6,2.8,1.3,0.3,0.2,0.1,.440,.495,.297,.646,0.6,.060
65,2015,NBA,1,8,DET,Stanley Johnson,19.031,F,,University of Arizona,2016,2016,37,22.3,8.1,4.0,1.3,0.7,0.1,.377,.410,.310,.756,0.6,.038
66,2015,NBA,1,11,IND,Myles Turner,19.097,F-C,,University of Texas at Austin,2016,2016,15,14.5,5.6,3.6,0.3,0.2,1.0,.485,.485,,.692,0.6,.127
67,2013,NBA,1,19,CLE,Sergey Karasev,19.249,G-F,,,2014,2016,68,11.6,3.0,1.3,0.8,0.4,0.0,.383,.475,.266,.808,0.5,.028
68,2013,NBA,2,47,ATL,Raul Neto,21.044,G,,,2016,2016,36,18.6,5.5,1.5,2.3,1.0,0.1,.410,.430,.378,.833,0.5,.034
69,2014,NBA,2,32,PHI,K.J. McDaniels,21.142,G-F,,Clemson University,2015,2016,73,19.2,6.9,2.9,1.0,0.6,1.0,.392,.448,.287,.746,0.5,.017
70,2014,NBA,2,35,UTA,Jarnell Stokes,20.175,F-C,,University of Tennessee,2015,2016,21,6.2,2.7,1.7,0.2,0.2,0.2,.568,.568,,.536,0.5,.185
71,2015,NBA,1,10,MIA,Justise Winslow,19.095,F,,Duke University,2016,2016,34,26.7,5.4,4.6,1.2,0.7,0.4,.393,.491,.222,.660,0.5,.027
72,2013,NBA,1,16,BOS,Lucas Nogueira,20.341,C,,,2015,2016,19,7.1,2.3,1.7,0.2,0.5,0.2,.613,.633,.000,.545,0.4,.159
73,2014,NBA,1,17,BOS,James Young,18.319,G-F,,University of Kentucky,2015,2016,47,10.3,2.7,1.3,0.4,0.3,0.1,.341,.535,.244,.515,0.4,.039
74,2014,NBA,1,19,CHI,Gary Harris,19.290,G,,Michigan State University,2015,2016,87,19.3,6.1,1.7,1.0,0.9,0.2,.391,.464,.294,.744,0.4,.010
75,2014,NBA,1,22,MEM,Jordan Adams,19.358,G,,University of California Los Angeles,2015,2016,32,8.2,3.2,0.9,0.6,0.6,0.2,.402,.409,.385,.607,0.4,.071
76,2014,NBA,2,44,MIN,Markel Brown,22.154,G,,Oklahoma State University,2015,2016,68,14.8,4.0,1.9,0.8,0.6,0.2,.347,.397,.253,.797,0.4,.020
77,2015,NBA,1,5,ORL,Mario Hezonja,20.125,F-G,,,2016,2016,35,13.5,4.4,1.7,1.0,0.2,0.1,.437,.457,.411,.913,0.4,.037
78,2015,NBA,1,15,ATL,Kelly Oubre,19.203,F,,University of Kansas,2016,2016,28,13.3,4.6,2.5,0.4,0.3,0.1,.439,.460,.409,.692,0.4,.056
79,2015,NBA,1,22,CHI,Bobby Portis,20.140,F,,University of Arkansas,2016,2016,15,16.5,7.7,5.3,0.7,0.6,0.4,.467,.489,.333,.733,0.4,.077
80,2014,NBA,1,7,LAL,Julius Randle,19.214,F,,University of Kentucky,2015,2016,39,26.1,10.4,9.2,1.6,0.7,0.3,.402,.408,.278,.677,0.3,.016
Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,MP,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
81,2015,NBA,1,12,UTA,Trey Lyles,19.237,F,,University of Kentucky,2016,2016,35,16.8,3.6,4.1,0.7,0.2,0.2,.383,.382,.391,.652,0.3,.028
82,2015,NBA,2,32,HOU,Montrezl Harrell,21.155,F,,University of Louisville,2016,2016,20,10.4,3.3,1.7,0.3,0.3,0.3,.634,.634,,.520,0.3,.078
