Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,MP,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
60,2015,NBA,1,3,PHI,Jahlil Okafor,19.197,C,,Duke University,2016,2016,36,30.8,17.4,7.5,1.2,0.4,1.1,0.478,0.481,0,0.701,0.8,0.036
61,2015,NBA,1,14,OKC,Cameron Payne,20.326,G,,Murray State University,2016,2016,22,9,4.5,1.3,1.5,0.5,0.1,0.476,0.491,0.452,0.833,0.8,0.2
62,2013,NBA,1,29,OKC,Archie Goodwin,18.319,G,,University of Kentucky,2014,2016,112,11.4,4.7,1.8,0.8,0.4,0.2,0.431,0.486,0.213,0.679,0.7,0.027
63,2014,NBA,1,24,CHH,Shabazz Napier,22.353,G,,University of Connecticut,2015,2016,84,16.9,4.8,1.7,2.3,0.7,0.1,0.364,0.383,0.344,0.793,0.6,0.019
64,2014,NBA,2,40,MIN,Glenn Robinson III,20.174,G-F,,University of Michigan,2015,2016,57,8.6,2.8,1.3,0.3,0.2,0.1,0.44,0.495,0.297,0.646,0.6,0.06
65,2015,NBA,1,8,DET,Stanley Johnson,19.031,F,,University of Arizona,2016,2016,37,22.3,8.1,4,1.3,0.7,0.1,0.377,0.41,0.31,0.756,0.6,0.038
66,2015,NBA,1,11,IND,Myles Turner,19.097,F-C,,University of Texas at Austin,2016,2016,15,14.5,5.6,3.6,0.3,0.2,1,0.485,0.485,,0.692,0.6,0.127
67,2013,NBA,1,19,CLE,Sergey Karasev,19.249,G-F,,,2014,2016,68,11.6,3,1.3,0.8,0.4,0,0.383,0.475,0.266,0.808,0.5,0.028
68,2013,NBA,2,47,ATL,Raul Neto,21.044,G,,,2016,2016,36,18.6,5.5,1.5,2.3,1,0.1,0.41,0.43,0.378,0.833,0.5,0.034
69,2014,NBA,2,32,PHI,K.J. McDaniels,21.142,G-F,,Clemson University,2015,2016,73,19.2,6.9,2.9,1,0.6,1,0.392,0.448,0.287,0.746,0.5,0.017
70,2014,NBA,2,35,UTA,Jarnell Stokes,20.175,F-C,,University of Tennessee,2015,2016,21,6.2,2.7,1.7,0.2,0.2,0.2,0.568,0.568,,0.536,0.5,0.185
71,2015,NBA,1,10,MIA,Justise Winslow,19.095,F,,Duke University,2016,2016,34,26.7,5.4,4.6,1.2,0.7,0.4,0.393,0.491,0.222,0.66,0.5,0.027
72,2013,NBA,1,16,BOS,Lucas Nogueira,20.341,C,,,2015,2016,19,7.1,2.3,1.7,0.2,0.5,0.2,0.613,0.633,0,0.545,0.4,0.159
73,2014,NBA,1,17,BOS,James Young,18.319,G-F,,University of Kentucky,2015,2016,47,10.3,2.7,1.3,0.4,0.3,0.1,0.341,0.535,0.244,0.515,0.4,0.039
74,2014,NBA,1,19,CHI,Gary Harris,19.29,G,,Michigan State University,2015,2016,87,19.3,6.1,1.7,1,0.9,0.2,0.391,0.464,0.294,0.744,0.4,0.01
75,2014,NBA,1,22,MEM,Jordan Adams,19.358,G,,University of California Los Angeles,2015,2016,32,8.2,3.2,0.9,0.6,0.6,0.2,0.402,0.409,0.385,0.607,0.4,0.071
